fid,id,Assets_Threats,Name,Ward,Subward,Subward_asset_id,asset_threat_category,Assets_per_ward_id,latitude,longitude,important_asset_at_risk_per_ward_ID,continued_from_asset_at_risk_id,Important_asset_not_at_risk_per_ward_ID,Evacuation_center_per_ward_ID,At_risk_but_not_important_ID
4858,4951,Important asset and at risk,Blue Bird Hotel,Sinza,Sinza A,,,,-6.774940759,39.22289334,6,,,,
4857,4952,Important asset and at risk,Fahari Hotel,Sinza,Sinza A,,,,-6.776000801,39.22271474,7,,,,
4856,4953,Important asset and at risk,Happy TOT Day Care Center,Sinza,Sinza A,,,,-6.777147259,39.22564138,8,,,,
4855,4954,Important asset and at risk,Kwalalumpa Hall,Sinza,Sinza A,,,,-6.778172735,39.22685121,9,,,,
4864,4955,Important asset and at risk,T.A.G Church,Sinza,Sinza A,,,,-6.779361203,39.22200499,10,,,,
4848,4956,Important asset and at risk,Open Space Near Kibaden Area,Sinza,Sinza B,,,,-6.78037693,39.22725739,11,,,,
4852,4957,Important asset and at risk,Culvat,Sinza,Sinza B,,,,-6.781122236,39.22508847,12,,,,
4853,4958,Important asset and at risk,Culvet,Sinza,Sinza B,,,,-6.781482328,39.22510522,13,,,,
4850,4959,Important asset and at risk,Open Space Near Seven Up,Sinza,Sinza B,,,,-6.781888478,39.22349737,14,,,,
4849,4960,Important asset and at risk,Open Space Near Mashujaa,Sinza,Sinza B,,,,-6.783065056,39.22534807,15,,,,
4854,4961,Important asset and at risk,Tasafa Drainage,Sinza,Sinza B,,,,-6.783370715,39.22331313,16,,,,
4851,4962,Important asset and at risk,Open Space Near Mtaa Office,Sinza,Sinza B,,,,-6.784040653,39.22354343,17,,,,
4844,4963,Important asset and at risk,Light Christian Center,Sinza,Sinza C,,,,-6.788414848,39.21141664,18,,,,
4843,4964,Important asset and at risk,ABC Pre School,Sinza,Sinza C,,,,-6.789933659,39.21880385,19,,,,
4847,4965,Important asset and at risk,Mama Salma Kikwete Bridge,Sinza,Sinza E,,,,-6.787238799,39.23322514,20,,,,
4846,4966,Important asset and at risk,Masjid Fisajibillahj,Sinza,Sinza E,,,,-6.787694008,39.23254251,21,,,,
4845,4967,Important asset and at risk,TP  Playground,Sinza,Sinza E,,,,-6.788311841,39.23059391,22,,,,
3604,4968,Important asset and not at risk,Car Parking,Sinza,Sinza A,,,,-6.77143225,39.22367108,,,1,,
3603,4969,Important asset and not at risk,Roman Catholic Church,Sinza,Sinza A,,,,-6.772371309,39.22389577,,,2,,
3602,4970,Important asset and not at risk,Mashujaa Road,Sinza,Sinza A,,,,-6.773097207,39.22335999,,,3,,
3601,4971,Important asset and not at risk,Pharmacy,Sinza,Sinza A,,,,-6.773967133,39.22150491,,,4,,
3599,4972,Important asset and not at risk,Survey Dispensary,Sinza,Sinza A,,,,-6.774018983,39.22210407,,,5,,
3600,4973,Important asset and not at risk,Mwalimu Bank,Sinza,Sinza A,,,,-6.774508676,39.22128023,,,6,,
3598,4974,Important asset and not at risk,Segesela Street,Sinza,Sinza A,,,,-6.775153919,39.22276083,,,7,,
3594,4975,Important asset and not at risk,Islamiya Mosque And Madrassa,Sinza,Sinza A,,,,-6.775511107,39.22560681,,,8,,
3595,4976,Important asset and not at risk,Sosi Pentecoste Church,Sinza,Sinza A,,,,-6.775937429,39.22391305,,,9,,
3605,4977,Important asset and not at risk,Winners Church,Sinza,Sinza A,,,,-6.776482351,39.21963808,,,10,,
3589,4978,Important asset and not at risk,Seven Adventist Church,Sinza,Sinza A,,,,-6.776916815,39.22796886,,,11,,
3591,4979,Important asset and not at risk,Africa In Land Church Tanzania (Act),Sinza,Sinza A,,,,-6.777239437,39.22707013,,,12,,
3590,4980,Important asset and not at risk,NMB Bank,Sinza,Sinza A,,,,-6.777423792,39.22763472,,,13,,
3606,4981,Important asset and not at risk,Dispensary (Tiba Za Asili),Sinza,Sinza A,,,,-6.777685751,39.22052235,,,14,,
3592,4982,Important asset and not at risk,Mto Ng'ombe Culvert,Sinza,Sinza A,,,,-6.777804024,39.2275195,,,15,,
3607,4983,Important asset and not at risk,Chuo Kikuu River Along Mto Ng'ombe,Sinza,Sinza A,,,,-6.778097965,39.21902641,,,16,,
3608,4984,Important asset and not at risk,Dental Clinic,Sinza,Sinza A,,,,-6.778111262,39.21858095,,,17,,
3597,4985,Important asset and not at risk,Ikangaa Street,Sinza,Sinza A,,,,-6.778293718,39.22271474,,,18,,
3596,4986,Important asset and not at risk,Malezi Street,Sinza,Sinza A,,,,-6.778414701,39.22337727,,,19,,
3593,4987,Important asset and not at risk,Imani Street,Sinza,Sinza A,,,,-6.77846079,39.22514593,,,20,,
3610,4988,Important asset and not at risk,Print Industry,Sinza,Sinza A,,,,-6.779175041,39.22076835,,,21,,
3609,4989,Important asset and not at risk,Isega Line Hair Industry,Sinza,Sinza A,,,,-6.779188339,39.22047581,,,22,,
3611,4990,Important asset and not at risk,Market Area,Sinza,Sinza A,,,,-6.779919687,39.22227094,,,23,,
3580,4991,Important asset and not at risk,Tamwa Church,Sinza,Sinza B,,,,-6.779614876,39.2290746,,,24,,
3581,4992,Important asset and not at risk,Hostel,Sinza,Sinza B,,,,-6.780008464,39.2255993,,,25,,
3582,4993,Important asset and not at risk,Open Space & Square Quator,Sinza,Sinza B,,,,-6.780711899,39.22533132,,,26,,
3578,4994,Important asset and not at risk,Amen Hospital,Sinza,Sinza B,,,,-6.780912881,39.22508847,,,27,,
3584,4995,Important asset and not at risk,Church,Sinza,Sinza B,,,,-6.781440457,39.22850515,,,28,,
3575,4996,Important asset and not at risk,Rc Nursery School,Sinza,Sinza B,,,,-6.782143891,39.22620224,,,29,,
3586,4997,Important asset and not at risk,Mashujaa Nursery School,Sinza,Sinza B,,,,-6.78231975,39.22508847,,,30,,
3587,4998,Important asset and not at risk,Catholic Church,Sinza,Sinza B,,,,-6.782428615,39.22618549,,,31,,
